,Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
25,400,26,0.05460619926452637,True,6,724,8
26,400,27,0.1261751651763916,True,9,1688,12
27,400,28,0.08896970748901367,True,8,1183,10
28,400,29,16.882769346237183,False,,167616,801
29,400,30,2.255187511444092,True,12,26123,125
30,400,31,0.012869119644165039,True,3,85,5
31,400,32,0.033396005630493164,True,4,438,6
32,400,33,0.04431414604187012,True,5,574,7
33,400,34,17.188040256500244,False,,170787,801
34,400,35,16.66496205329895,False,,163539,801
35,400,36,0.06702995300292969,True,6,858,8
36,400,37,0.04305434226989746,True,5,561,7
37,400,38,2.412952423095703,True,12,26851,134
38,400,39,17.136457920074463,False,,169392,801
39,400,40,16.72986078262329,False,,167412,801
40,400,41,17.05734610557556,False,,174305,801
41,400,42,1.5521762371063232,True,12,18059,93
42,400,43,17.04906129837036,False,,168458,801
43,400,44,17.055614709854126,False,,170396,801
44,400,45,0.07934308052062988,True,7,1071,9
45,400,46,0.12358808517456055,True,10,1636,12
46,400,47,16.97122883796692,False,,167641,801
47,400,48,4.350485801696777,True,12,49124,237
48,400,49,16.616617441177368,False,,169649,801
49,400,50,16.97737455368042,False,,167196,801
50,400,51,16.79842257499695,False,,162397,801
51,400,52,16.44555950164795,False,,163345,801
52,400,53,16.524259328842163,False,,163328,801
53,400,54,16.93797755241394,False,,164984,801
54,400,55,16.749097108840942,False,,164127,801
55,400,56,16.91836190223694,False,,168180,801
56,400,57,16.964570999145508,False,,166133,801
57,400,58,16.381962776184082,False,,164000,801
0,500,1,0.0051915645599365234,True,1,13,3
1,500,2,0.00818490982055664,True,2,42,4
2,500,3,0.004946231842041016,True,1,13,3
3,500,4,0.009303092956542969,True,2,65,4
4,500,5,0.0186312198638916,True,3,215,5
5,500,6,0.032460689544677734,True,4,424,6
6,500,7,0.012487411499023438,True,3,85,5
7,500,8,0.033211469650268555,True,4,443,6
8,500,9,0.03776431083679199,True,5,474,7
9,500,10,0.03204154968261719,True,4,439,6
10,500,11,0.01800680160522461,True,3,215,5
11,500,12,0.053565025329589844,True,6,706,8
12,500,13,0.04792189598083496,True,5,636,7
13,500,14,0.09438371658325195,True,8,1278,10
14,500,15,0.0723109245300293,True,7,945,9
